feature,description,importance_formatted,importance_percentage
backers_count,backers_count,35.22%,35.22310016302712
backers_per_day,backers_per_day,16.90%,16.89668560311664
avg_pledge_amount,avg_pledge_amount,11.01%,11.006305010133131
funding_duration,Campaign Duration (days),6.91%,6.913935230307257
total_likes,Total Likes on Updates,2.61%,2.6113314992459635
updates_per_day,Updates Posted per Day,2.42%,2.419214104520593
tfidf_5,and,1.67%,1.6654177181605494
avg_update_length,Average Length of Updates,1.26%,1.258014504468601
tfidf_96,with,1.08%,1.0820796321462942
tfidf_99,your,1.07%,1.067354242816653
is_live,Project is Currently Live,1.01%,1.0108299100330183
tfidf_69,re,0.96%,0.9625178397366895
average_likes_per_update,average_likes_per_update,0.91%,0.9101231973946976
tfidf_92,we,0.91%,0.9085766791027272
tfidf_60,of,0.89%,0.8917220960773024
num_updates,Number of Project Updates,0.88%,0.8793989711145972
tfidf_88,us,0.86%,0.861276261298382
tfidf_26,for,0.82%,0.824950815093759
tfidf_84,to,0.81%,0.805943003622626
tfidf_98,you,0.71%,0.713977917647301
tfidf_36,here,0.68%,0.6755010720846407
tfidf_82,this,0.65%,0.6478283082499995
tfidf_80,the,0.53%,0.5283931504710085
tfidf_64,our,0.49%,0.49400186123017403
tfidf_17,can,0.45%,0.45488485944539697
tfidf_8,as,0.44%,0.4359538662021639
tfidf_40,in,0.43%,0.43288516818855655
tfidf_43,it,0.43%,0.4270094641043597
tfidf_55,more,0.40%,0.3990286932395118
tfidf_33,has,0.39%,0.38546503551783684
tfidf_24,excited,0.32%,0.32348631459634575
tfidf_89,ve,0.25%,0.2511408878386005
tfidf_10,backers,0.24%,0.2409317836429002
tfidf_68,project,0.24%,0.2392325888625714
tfidf_77,thank,0.24%,0.23916980841769067
total_comments,Total Comments on Updates,0.24%,0.2371913956880407
tfidf_79,that,0.22%,0.22028708061164684
tfidf_7,are,0.22%,0.2191216537828428
tfidf_2,all,0.22%,0.21500942941171974
average_comments_per_update,average_comments_per_update,0.20%,0.1984147817509233
tfidf_18,days,0.16%,0.16369082481771702
tfidf_4,an,0.16%,0.16294992034779068
tfidf_75,support,0.14%,0.1411148158372243
tfidf_97,world,0.14%,0.1365926675677185
tfidf_23,everyone,0.13%,0.13452472268352864
tfidf_91,was,0.12%,0.12048045597119489
tfidf_72,so,0.12%,0.11501587456281173
tfidf_42,is,0.11%,0.11172807071703683
tfidf_50,like,0.10%,0.10226455950944043
tfidf_52,love,0.10%,0.10067429946853132
tfidf_16,campaign,0.10%,0.09834519440034736
tfidf_59,now,0.10%,0.09731524496460732
tfidf_46,just,0.10%,0.09729732971364519
tfidf_19,de,0.10%,0.09531642891351004
tfidf_61,on,0.09%,0.0927574297778736
tfidf_83,time,0.09%,0.08709143861190632
tfidf_38,how,0.08%,0.08466358650733795
tfidf_85,together,0.08%,0.08399426242491281
tfidf_93,what,0.08%,0.0758803470105922
tfidf_66,part,0.07%,0.07492214982534254
tfidf_12,been,0.07%,0.07191072160008535
tfidf_62,one,0.07%,0.06982666601404047
tfidf_11,be,0.07%,0.06864128087248224
tfidf_29,from,0.07%,0.06621380896303393
tfidf_45,journey,0.06%,0.06305025901376557
total_comment_count,Total Comment Count,0.06%,0.06265908334947178
tfidf_63,or,0.06%,0.062374775032715976
tfidf_53,make,0.06%,0.06166557163834464
tfidf_70,reach,0.06%,0.06159698866952334
tfidf_39,if,0.06%,0.05811886214501005
tfidf_81,these,0.06%,0.05520466896777272
tfidf_56,new,0.05%,0.05484367875588086
