name,subtitle,backers,goal,pledged,usd_pledged,created_at,launched_at,deadline,state_changed_at,category,location,staff_pick,is_in_post_campaign_pledging_phase,state,campaign_id,scrape_date,days_left,description
The Magic Wheelchair,The Mission: Build 5 Epic Wheelchair Costumes for Kids for Halloween 2015!,769,15000.0,25688.0,25688.0,4/18/2015 6:26,6/3/2015 23:02,7/3/2015 23:02,1435935774,Technology,Portland,True,,successful,fe6c5d9ed7,2/27/2025,,"1. Description: Prepare to be enchanted by the magic of creativity and the power of imagination. Our campaign aims to build 5 incredible wheelchair costumes, turning everyday heroes into their favorite superheroes or fairytale creatures for Halloween 2015. We believe every child deserves a magical Halloween filled with joy and wonder, and with your support, we can provide a memorable adventure to kids who may otherwise miss out on this beautiful tradition."
ACPAD – The Electronic Orchestra For Your Guitar,"Play hundreds of instruments, samples, effects and loops – on your acoustic guitar. ACPAD puts an electronic orchestra in your hands!",1204,40000.0,296922.0,337263.4263,9/23/2015 3:34,10/22/2015 19:04,12/4/2015 12:59,1449205140,Technology,Berlin,True,,successful,fb3c7878f0,2/27/2025,,"2. Description: ACPAD strips back music to its core – your passion, creativity, and acoustic guitar. But this time, we're adding hundreds of instruments, sound effects, loops, and samples right under your fingertips. Revolutionize your music-making experience and rediscover the essence of acoustic guitar, transformed into a full-on electronic orchestra. With your pledges, we'll turn this stunning concept into a sensational reality."
Tidbyt: The Retro Display from the Future,"Tidbyt is a lo-fi smart display that gives you weather, stocks, transit, and a whole lot more.",5106,40000.0,918844.1,918844.1,1/29/2021 0:44,3/16/2021 21:03,4/16/2021 1:00,1618506000,Technology,Brooklyn,True,False,successful,fadb79921d,2/27/2025,,"3. Description: Dive into the intriguing charm of Tidbyt – a smart, lo-fi display pulling the essential strings of information from the future. Expertly crafted, Tidbyt shows you stock updates, weather forecasts, transit reports, and more, all within a timeless, retro design. This Kickstarter campaign is your opportunity to bring an innovative bridge between past and future into your daily life."
BioLite BaseCamp Stove | Turn Fire into Electricity,"We heard you, it's here: advanced off-grid cooking and charging for groups, powered by wood. Can your stove do that?",3783,45000.0,1032443.68,1032443.68,4/30/2014 23:40,5/14/2014 12:02,6/16/2014 11:59,1402891140,Technology,Brooklyn,True,False,successful,f82be92319,2/27/2025,,"4. Description: BioLite BaseCamp Stove is where technology meets nature. We're not only introducing advanced off-grid cooking and charging facility for your group outings, but turning the magic of wood-burning fires into functional electricity. Does your stove do that? Help us revolutionize outdoor living and step into a sustainable future with your support."
"Taco: Basecamp to Zendesk, all your tasks in one place","See all your tasks in one place, from the services you already use (like Google Tasks, GitHub, Zendesk, and RSS). Work on what matters.",194,3500.0,7339.0,7339.0,3/20/2013 23:07,6/14/2013 0:06,7/14/2013 0:06,1373731594,Technology,Seattle,True,,successful,f5342c3a8d,2/27/2025,,"5. Description: Welcome to Taco, your one-stop solution to task management. It gathers all your tasks – from Google Tasks, GitHub, Zendesk, RSS, and more – into one user-friendly platform. With Taco, you can focus on the tasks that truly matter. Let's organize, simplify, and streamline the hustle of everyday life together."
Bioremediation Action Match,"Help beat back pollution!  Using low cost bioremediation methods, brownfields all around Detroit will be cleaned up and put back to productive use.",8,165.0,186.0,186.0,8/29/2010 8:41,8/29/2010 9:03,9/5/2010 11:00,1283655608,Technology,Detroit,True,,successful,f42e31b4a1,2/27/2025,,"6. Description: Pollution: the invisible enemy we're fighting. Bioremediation Action Match is a grand project to clean up brownfields around Detroit using low-cost, effective bioremediation techniques, transforming them into productive lands. Your contribution will fuel this environmental revolution, paving the way for greener, cleaner cities."
revolights. join the revolution.,"Revolights bike lighting system.
A Bay Area design project.
Our light's different.  We get that.  We embrace it.
Join the revolution.",1442,43500.0,215621.4,215621.4,7/22/2011 1:24,8/10/2011 0:52,9/28/2011 0:52,1317142380,Technology,Palo Alto,True,,successful,f3d9c652a9,2/27/2025,,"7. Description: Revolights is not your ordinary bike lighting system. It's unique, it's bold, it's the future of safe biking. Designed with care and innovation in the heart of Bay Area, Revolights"
Slidenjoy - Double or triple your screens,"Ultra-thin, light, portable and free-standing. Users can easily unfold it, adding one to two extra screens to their computer.",1626,300000.0,600514.0,663176.9273,7/6/2015 3:48,7/8/2015 3:04,8/10/2015 3:04,1439147079,Technology,Charleroi,True,,successful,f1d7fe8e42,2/27/2025,,Description could not be generated
Hendo Hoverboards - World's first REAL hoverboard,Hendo is introducing the world's first REAL hoverboard and hover developer kit. We are putting hover technology in YOUR hands.,3169,250000.0,510590.53,510590.53,10/18/2014 0:45,10/21/2014 12:49,12/15/2014 15:59,1418630340,Technology,Los Gatos,True,,successful,f0f2913ce0,2/27/2025,,Description could not be generated
Help us build a satellite,We are a multi-disciplinary engineering student team that is building a small satellite to test the self-healing material in space.,218,15000.0,15426.3,14912.0865,9/14/2013 0:36,10/17/2013 2:34,12/1/2013 12:59,1385873940,Technology,Montreal,True,,successful,ee0794f51a,2/27/2025,,Description could not be generated
